38239417	Straatsma Syndrome and cataract: case report and review of the literature.	Straatsma Syndrome is known as unilateral myopia, amblyopia, and myelinated retinal nerve fibers (MRNF). The syndrome can be associated with other findings such as nystagmus, strabismus, and optic nerve hypoplasia among others. However, no cases associated with cataract have been reported. The visual prognosis depends on the myelinated retinal nerve fibers extension, the early amblyopia therapy, and the coexistence of other signs. We present the case of a 4-year-old girl with Straatsma Syndrome and cataract in the left eye. Despite the cataract surgical treatment with the refractive error correction and the amblyopia therapy, no visual improvement has been reported. <b>Abbreviations:</b> MRNF = Myelinated retinal nerve fibers, LE = Left eye, PD = Prism dioptres, BCVA = Best-corrected visual acuity, RE = Right eye, HM = Hand movement, CF = Counting fingers.
38068917	Novel <i>CRYGC</i> Mutation in Conserved Ultraviolet-Protective Tryptophan (p.Trp131Arg) Is Linked to Autosomal Dominant Congenital Cataract.	Congenital cataract (CC), the most prevalent cause of childhood blindness and amblyopia, necessitates prompt and precise genetic diagnosis. The objective of this study is to identify the underlying genetic cause in a Swiss patient with isolated CC. Whole exome sequencing (WES) and copy number variation (CNV) analysis were conducted for variant identification in a patient born with a total binocular CC without a family history of CC. Sanger Sequencing was used to confirm the variant and segregation analysis was used to screen the non-affected parents. The first de novo missense mutation at c.391T>C was identified in exon 3 of <i>CRYGC</i> on chromosome 2 causing the substitution of a highly conserved Tryptophan to an Arginine located at p.Trp131Arg. Previous studies exhibit significant changes in the tertiary structure of the crystallin family in the following variant locus, making <i>CRYGC</i> prone to aggregation aggravated by photodamage resulting in cataract. The variant can be classified as pathogenic according to the American College of Medical Genetics and Genomics (ACMG) criteria (PP3 + PM1 + PM2 + PS2; scoring 10 points). The identification of this novel variant expands the existing knowledge on the range of variants found in the <i>CRYGC</i> gene and contributes to a better comprehension of cataract heterogeneity.
37904374	Self-limited corneal ectasia in a post-LASIK eye after cataract surgery: A case report.	INTRODUCTION: To present a case with a history of laser in situ keratomileusis (LASIK) developing central conic protrusion after phacoemulsification cataract surgery, which spontaneously resolved 5 months postoperatively. PATIENT CONCERNS: A 55-year-old female who underwent myopic LASIK surgery 10 years ago presented to the clinic with bilateral cataracts and without ectasia. Following phacoemulsification cataract surgery and intraocular lens implantation in the right eye, the patient experienced a significant increase in spherical equivalent and corneal astigmatism. DIAGNOSES: Based on a central conic protrusion on topography examination, surgically-induced corneal ectasia was diagnosed. INTERVENTIONS: Topical lubricants, corticosteroids, and serial follow-up with corneal topography. OUTCOMES: The corneal protrusion gradually resolved over a period of 5 months. LESSONS: For post-LASIK patient who developed corneal protrusion following uneventful cataract surgery with a clear corneal incision, the clear corneal wound may have disrupted the biomechanical stability of the post-LASIK eye, compromising the peripheral stromal integrity. Additionally, postoperative inflammation could have contributed to corneal ectasia. Smaller clear corneal wounds or scleral tunnel entry during cataract surgery in post-LASIK eyes should be considered. Monitoring wound healing and using topical steroids can aid in achieving satisfactory outcomes and reducing the potential vision-threatening complications associated with corneal ectasia.
37353733	Case report of the evidence of a spontaneous Reverse Pulfrich effect in monovision after cataract surgery.	BACKGROUND: Cataracts affect the optics of the eye in terms of absorption, blur, and scattering. When cataracts are unilateral, they cause differences between the eyes that can produce visual discomfort and harm binocular vision. These interocular differences can also induce differences in the processing speed of the eyes that may cause a spontaneous Pulfrich effect, a visual illusion provoking important depth misperceptions. Interocular differences in light level, like those present in unilateral cataracts, can cause the Classic Pulfrich effect, and interocular differences in blur, like those present in monovision, a common correction for presbyopia, can cause the Reverse Pulfrich effect. The visual system may be able to adapt, or not, to the new optical condition, depending on the degree of the cataract and the magnitude of the monovision correction. CASE PRESENTATION: Here, we report a unique case of a 45-year-old patient that underwent unilateral cataract surgery resulting in a monovision correction of 2.5 diopters (D): left eye emmetropic after the surgery compensated with a monofocal intraocular lens and right eye myopic with a spherical equivalent of -2.50 D. This patient suffered severe symptoms in binocular vision, which can be explained by a spontaneous Pulfrich effect (a delay measured of 4.82 ms, that could be eliminated with a 0.19 optical density filter). After removing the monovision with clear lens extraction in the second eye, symptoms disappeared. We demonstrate that, at least in this patient, both Classic and Reverse Pulfrich effects coexist after unilateral cataract surgery and that can be readapted by reverting the interocular differences. Besides, we report that the adaptation/readaptation process to the Reverse Pulfrich effect happens in a timeframe of weeks, as opposed to the Classic Pulfrich effect, known to have timeframes of days. Additionally, we used the illusion measured in the laboratory to quantify the relevance of the spontaneous Pulfrich effect in different visual scenarios and tasks, using geometrical models and optic flow algorithms. CONCLUSIONS: Measuring the different versions of the Pulfrich effect might help to understand the visual discomfort reported by many patients after cataract surgery or with monovision and could guide compensation or intervention strategies.
37322682	Surgical management of lifebuoy cataract.	Lifebuoy cataract is a rare form of congenital cataract with anatomical characteristics. Herein, we present a case of an otherwise healthy 42-year-old female with a long-standing history of blurred vision. Examination showed the presence of esotropia and bilateral horizontal nystagmus. Visual acuity was limited to light perception in both eyes. Slit-lamp examination showed a calcified lens capsule with the absence of lens material in the right eye and the presence of an annular cataract in the left eye, corresponding to a unilateral lifebuoy cataract. She underwent cataract surgery with intraocular lens implantation. We report the clinical findings, anterior segment optical coherence tomography (AS-OCT), and surgical management tips. We noticed that during surgery, both anterior capsulorhexis and central membrane removal were the most challenging steps due to the absence of central nucleus and the strong adherence of central membrane to the anterior hyaloid.
37237264	A very early steroid responder after cataract surgery: a case report.	BACKGROUND: Increased intraocular pressure (IOP), a side effect of corticosteroid eye drops, typically develops during the first few weeks of administration, and steroid response is not generally considered a cause of increased IOP immediately after cataract surgery. CASE PRESENTATION: Here, I report a rare case of increased IOP due to steroid eye drops immediately after surgery. A man in his 80s presented with vision loss. Bilateral cataracts and pseudoexfoliation syndrome were confirmed. Postoperative eye drops including steroid eye drops were started immediately after cataract surgery in the right eye. High IOP was observed at the next and subsequent morning visits, but IOP normalized when steroid eye drops were discontinued. After surgery on the left eye, steroids were not administered postoperatively, and no increase in IOP was observed. CONCLUSION: This case report highlights that a very early steroid response may be potential cause of elevated IOP immediately after cataract surgery.
37118661	A case report of interstitial keratitis and secondary glaucoma after cataract surgery that may be related to late congenital syphilis.	BACKGROUND: The destruction of blood eye barrier and the administration of corticosteroid eyedrops after phacoemulsification surgery can lead to the replication of the local potential pathogens. With the rapid increase and popularization of cataract surgery, all kinds of rare postoperative complications have appeared. Here, we report a case of interstitial keratitis and secondary glaucoma after cataract surgery, which may be related to late congenital syphilis, which eventually led to blindness in the right eye. We hope that the timely report of this case will enable doctors to pay more attention to the possibility of potential pathogen replication after cataract surgery, and enable more patients to receive reasonable and effective treatment. CASE PRESENTATION: A 63-year-old female was referred to our clinic for investigation with a 1-week history of moderate pain in the right eye and ipsilateral headache in January 2020. She had cataract surgery on her right eye two years ago and on her left eye one year ago. The intraocular pressure (IOP) in the right eye was 43.2 mmHg and that in the left eye was 28.5 mmHg. Her right eye underwent medication, trabeculectomy and finally was subjected to ciliary body photocoagulation to control the IOP. The IOP of the left eye was well controlled by regular use of eye drops. In addition to the elevated IOP, the inflammation of the anterior segment and corneal stroma was found. Before cataract surgery, bilateral corneal opacities was revealed, but after cataract surgery, interstitial keratitis in both eyes was gradually aggravated, during the follow-up period from 2019 to 2021. She informed us that she had suffered from decreased vision in both eyes and was diagnosed with bilateral keratitis and congenital syphilis at the age of 20. In 2018, the serologic test for syphilis was positive in blood (Chemiluminescence analysis (CLIA): + ; Toluidine red unheated serum test (TRUST): + , titer was 1:1). However, four tests for TRUST were negative in 2019 and 2020, so she was not treated for syphilis. CONCLUSION: This case of glaucoma and interstitial keratitis might be secondary to ocular inflammation caused by late congenital syphilis. The ocular inflammation and the activation of syphilis may be related to cataract surgery.
37113025	Splinter Cataract in Patients with Keratoconus and Frequent Eye Rubbing: A Novel Finding.	BACKGROUND Patients with keratoconus are at increased risk of developing cataract at a younger age compared to the normal population. Predisposing factors include atopy and topical steroid use. In this case series we report the novel observation of splinter-shaped cortical cataract in 16 eyes of 14 patients with keratoconus in the absence of other risk factors of cataract development from a single center in Riyadh, Saudi Arabia. CASE REPORT This is a retrospective review of 16 eyes of 14 patients diagnosed with keratoconus and found to have splinter cortical cataract. Twelve patients had unilateral and 2 patients had bilateral splinter cortical cataract in the inferotemporal quadrant of the crystalline lens. Thirteen eyes (81.25%) had clinically proven keratoconus and 3 eyes (18.75%) were keratoconus suspects. All patients affirmed frequent eye rubbing and 62.5% of eyes had a history of vernal keratoconjunctivitis. Best corrected visual acuity (BCVA) by the logarithm of the minimum angle of resolution (LogMAR) was reported between 0 to 0.2 in 69% of eyes (11 eyes) and 4 eyes (25%) had BCVA of 0.3 to 0.6, and 1 eye (6%) had BCVA of 1.3. CONCLUSIONS Splinter-shaped cortical cataract could be a sign of frequent eye rubbing. Careful examination of the crystalline lens with dilated pupil may reveal peripheral cortical opacities in the inferotemporal quadrant, which can alert the physician that the patient has habitual eye rubbing and is at increased risk of keratoconus development or progression.
36916108	Sympathetic ophthalmia in an 85-year-old female and a 90-year-old male after a non-complicated cataract surgery: a case report.	Here, two cases involving the oldest reported patients with sympathetic ophthalmia (SO) after non-complicated cataract surgery, are reported. The first case was an 85-year-old female with bilateral decreased vision and headache. The best-corrected visual acuity (BCVA) was 0.8 in the right eye and 1.0 in the left eye at the initial visit. Pseudophakia and choroidal detachments were observed in both eyes, and retinal pigment epithelium undulation was observed by optical coherence tomography. The second case was a 90-year-old male with bilateral optic disc oedema. The BCVA was 0.09 in the right eye and 0.3 in the left eye with pseudophakic eyes. Optic disc oedema and choroidal thickening were observed in both eyes. Both patients were diagnosed with SO, and corticosteroid pulse treatments were started. The BCVA of the first case improved to 0.9 in the right eye and 1.2 in the left eye, while that of the second case reached 0.3 in the right eye and 0.6 in the left eye. No recurrence was observed in either case at 12 months after the initial visit. Both elderly patients with SO were successfully treated.
36781206	A novel <i>WFS1</i> variant associated with isolated congenital cataracts.	Biallelic variants in the <i>WFS1</i> gene are associated with Wolfram syndrome. However, recent publications document that heterozygous variants can lead to a variety of phenotypes, such as Wolfram-like syndrome or isolated features of Wolfram syndrome. In this case report, we present a male patient with a history of congenital cataracts and subjective complaints of muscle weakness. Clinical assessment demonstrated normal muscle strength, and genomic, biochemical, electrophysiologic, and muscle biopsy studies did not identify a potential cause of the proband's perceived muscle weakness. Whole-exome sequencing identified a novel de novo variant in the <i>WFS1</i> gene (c.1243G > T), representing one of only several patients in the published literature with isolated congenital cataracts and a heterozygous <i>WFS1</i> variant. The variety of phenotypes associated with heterozygous variants in <i>WFS1</i> suggests that this gene should be considered as a cause of both dominant and biallelic/recessive forms of disease. Future research should focus on elucidating the mechanism(s) of disease and variable expressivity in <i>WFS1</i> in order to improve our ability to provide patients and families with anticipatory guidance about the disease, including appropriate screening and medical interventions.
